DSP_blk_eswap64_c,2800,2798,"1,000715",202205,3402,-loop-rotate, -mem2reg,2798,-loop-rotate, -mem2reg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_eswap64_c,2800,2798,"1,000715",218572,3675,-loop-rotate, -mem2reg,2798,-loop-rotate, -mem2reg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_move_c,907,898,"1,010022",331533,5267,-instcombine, -loop-rotate, -scalarrepl-ssa, -indvars,898,-instcombine, -loop-rotate, -scalarrepl-ssa, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_move_c,907,898,"1,010022",447500,6662,-gvn, -loop-reduce, -loop-rotate, -indvars, -scalarrepl-ssa, -basicaa,898,-gvn, -loop-reduce, -loop-rotate, -adce, -indvars, -scalarrepl-ssa, -basicaa,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_blk_move_c,907,898,"1,010022",385368,6054,-instcombine, -scalarrepl-ssa, -loop-rotate, -indvars,898,-instcombine, -scalarrepl-ssa, -loop-rotate, -inline, -indvars, -simplifycfg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotprod_c,827,827,1,274733,4744,-loop-rotate, -scalarrepl-ssa, -indvars,827,-loop-rotate, -scalarrepl-ssa, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotprod_c,827,827,1,267163,4485,-loop-rotate, -scalarrepl-ssa, -indvars,827,-loop-rotate, -scalarrepl-ssa, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotprod_c,827,827,1,253558,4424,-scalarrepl-ssa, -loop-rotate, -indvars,827,-scalarrepl-ssa, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotp_sqr_c,2906,2906,1,279869,4769,-loop-rotate, -scalarrepl, -gvn, -indvars,2906,-loop-rotate, -scalarrepl, -gvn, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotp_sqr_c,2906,2906,1,321666,5302,-loop-rotate, -scalarrepl-ssa, -gvn, -indvars,2906,-loop-rotate, -scalarrepl-ssa, -gvn, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_dotp_sqr_c,2906,2906,1,321795,5341,-loop-rotate, -scalarrepl-ssa, -gvn, -indvars,2906,-loop-rotate, -scalarrepl-ssa, -gvn, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fir_cplx_c,8509,8292,"1,02617",330796,5292,-scalarrepl-ssa, -gvn, -loop-rotate, -reassociate,8292,-scalarrepl-ssa, -gvn, -loop-rotate, -reassociate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fir_cplx_c,8509,8133,"1,046231",487614,6829,-scalarrepl-ssa, -instcombine, -early-cse, -loop-rotate, -loop-unswitch, -reassociate, -sccp,8133,-scalarrepl-ssa, -globaldce, -dse, -instcombine, -scalarrepl, -early-cse, -loop-rotate, -memcpyopt, -loop-unswitch, -reassociate, -sccp, -no-aa, -constprop,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fir_cplx_c,8509,8279,"1,027781",417146,6372,-scalarrepl, -licm, -early-cse, -loop-rotate, -sink, -loop-unswitch,8279,-scalarrepl, -licm, -early-cse, -loop-rotate, -sink, -loop-unswitch, -die,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,820,"1,013415",356306,5234,-scalarrepl, -loop-reduce, -loop-rotate,820,-scalarrepl, -loop-reduce, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,820,"1,013415",303996,4470,-scalarrepl, -loop-reduce, -loop-rotate,820,-scalarrepl, -loop-reduce, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,820,"1,013415",285210,4255,-scalarrepl, -loop-reduce, -loop-rotate,820,-scalarrepl, -loop-reduce, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",262218,4350,-loop-rotate, -scalarrepl-ssa, -jump-threading,967,-loop-rotate, -scalarrepl-ssa, -jump-threading,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",274623,4570,-jump-threading, -loop-rotate, -scalarrepl,967,-jump-threading, -loop-rotate, -scalarrepl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",249239,4068,-loop-rotate, -jump-threading, -scalarrepl,967,-loop-rotate, -jump-threading, -scalarrepl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mat_mul_c,53236,49296,"1,079925",677455,6769,-scalarrepl, -loop-reduce, -loop-rotate, -loop-extract, -licm, -loop-unswitch, -loop-unswitch, -inline,49296,-scalarrepl, -loop-reduce, -loop-rotate, -scalarrepl, -loop-extract, -sancov, -licm, -loop-unswitch, -loop-unswitch, -mergereturn, -inline,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mat_mul_c,53236,49726,"1,070587",630560,6586,-loop-rotate, -scalarrepl, -loop-unswitch, -functionattrs, -loop-unswitch, -jump-threading, -licm, -loop-reduce,49726,-loop-rotate, -scalarrepl, -loop-unswitch, -functionattrs, -loweratomic, -loop-unswitch, -jump-threading, -licm, -loop-reduce, -loops,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mat_mul_c,53236,41876,"1,271277",1014910,6934,-scalarrepl, -codegenprepare, -loop-rotate, -loop-extract, -sink, -memdep, -lazy-value-info, -licm, -loop-idiom, -licm, -loop-idiom, -loop-reduce, -codegenprepare, -basiccg, -loop-unswitch, -sink, -loop-rotate, -ipsccp, -loop-extract, -sink, -memdep, -lazy-value-info, -licm, -loop-idiom, -loop-reduce, -codegenprepare, -basiccg, -loop-unswitch, -memcpyopt, -loop-unswitch, -scalarrepl, -indvars, -correlated-propagation, -partial-inliner, -simplifycfg, -early-cse, -constprop, -licm, -loop-idiom, -loop-reduce, -codegenprepare, -functionattrs, -loop-rotate, -ipsccp, -loop-extract, -sink, -memdep, -lazy-value-info, -licm, -loop-idiom, -licm, -loop-idiom, -loop-reduce, -codegenprepare, -basiccg, -loop-unswitch, -memcpyopt, -constprop, -loop-idiom, -loop-reduce, -codegenprepare, -basiccg, -loop-unswitch, -memcpyopt, -constprop, -loop-unswitch, -loop-rotate, -codegenprepare, -basiccg, -loop-unswitch, -loop-rotate, -memcpyopt, -loop-unswitch, -ipsccp, -loop-extract, -sink, -memdep, -lazy-value-info, -licm, -loop-idiom, -dse, -lowerinvoke, -deadargelim, -loop-reduce, -basiccg, -targetlibinfo, -loop-unswitch, -loop-unswitch, -loop-rotate, -ipsccp, -loop-extract, -loop-reduce, -basiccg, -loop-idiom, -globalopt, -loop-rotate, -memcpyopt, -loop-unswitch, -ipsccp, -loop-extract, -dse, -lowerinvoke, -deadargelim, -loop-reduce, -basiccg, -loop-unswitch, -basiccg, -targetlibinfo, -loop-unswitch, -loop-rotate, -memcpyopt, -loop-unswitch, -basiccg,41878,-mergereturn, -indvars, -globaldce, -scalarrepl, -codegenprepare, -functionattrs, -loop-rotate, -ipsccp, -loop-extract, -sink, -memdep, -lazy-value-info, -licm, -loop-idiom, -licm, -loop-idiom, -loop-reduce, -codegenprepare, -basiccg, -loop-unswitch, -sink, -loop-rotate, -ipsccp, -loop-extract, -sink, -memdep, -lazy-value-info, -licm, -loop-idiom, -loop-reduce, -codegenprepare, -basiccg, -loop-unswitch, -memcpyopt, -loop-unswitch, -scalarrepl, -indvars, -correlated-propagation, -partial-inliner, -simplifycfg, -early-cse, -constprop, -licm, -loop-idiom, -loop-reduce, -codegenprepare, -functionattrs, -loop-rotate, -ipsccp, -loop-extract, -sink, -memdep, -lazy-value-info, -licm, -loop-idiom, -licm, -loop-idiom, -loop-reduce, -codegenprepare, -basiccg, -loop-unswitch, -memcpyopt, -constprop, -loop-idiom, -loop-reduce, -codegenprepare, -basiccg, -loop-unswitch, -memcpyopt, -constprop, -loop-unswitch, -loop-rotate, -codegenprepare, -basiccg, -loop-unswitch, -loop-rotate, -memcpyopt, -loop-unswitch, -ipsccp, -loop-extract, -sink, -memdep, -lazy-value-info, -licm, -loop-idiom, -dse, -lowerinvoke, -deadargelim, -loop-reduce, -basiccg, -targetlibinfo, -loop-unswitch, -loop-unswitch, -loop-rotate, -ipsccp, -loop-extract, -loop-reduce, -basiccg, -loop-idiom, -globalopt, -loop-rotate, -memcpyopt, -loop-unswitch, -ipsccp, -loop-extract, -dse, -lowerinvoke, -deadargelim, -loop-reduce, -basiccg, -loop-unswitch, -basiccg, -targetlibinfo, -loop-unswitch, -loop-rotate, -memcpyopt, -loop-unswitch, -basiccg,118
